"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071597"
"ID:",""
"Location:","5336 Kentucky Ave N"
"Comments:",""
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","06/17/2025"
"Start Time:","00:00"
"Export Version:","Class V1.03"
"Scheme:","FHWA"
"Scheme ID:","1"
"Interval:","60 Min"
"Title:","Westbound Classes"
"Date/Time","Class #1","Class #2","Class #3","Class #4","Class #5","Class #6","Class #7","Class #8","Class #9","Class #10","Class #11","Class #12","Class #13","Total"
06/17/2025 11:00 - 11:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06/17/2025 12:00 - 12:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06/17/2025 13:00 - 13:59,0,7,2,0,2,0,0,0,0,0,0,0,0,11
06/17/2025 14:00 - 14:59,0,24,3,0,4,0,0,0,0,0,0,0,0,31
06/17/2025 15:00 - 15:59,0,21,5,0,5,0,0,0,0,0,0,0,0,31
06/17/2025 16:00 - 16:59,0,28,6,0,3,0,0,0,0,0,0,0,0,37
06/17/2025 17:00 - 17:59,0,15,3,0,3,0,0,0,0,0,0,0,0,21
06/17/2025 18:00 - 18:59,0,20,1,0,6,0,0,0,0,0,0,0,0,27
06/17/2025 19:00 - 19:59,0,18,3,0,5,0,0,0,0,0,0,0,0,26
06/17/2025 20:00 - 20:59,1,22,1,0,0,0,0,0,0,0,0,0,0,24
06/17/2025 21:00 - 21:59,0,14,1,0,0,0,0,0,0,0,0,0,0,15
06/17/2025 22:00 - 22:59,0,8,1,0,0,0,0,0,0,0,0,0,0,9
06/17/2025 23:00 - 23:59,0,4,4,0,0,0,0,0,0,0,0,0,0,8
06/18/2025 00:00 - 00:59,0,1,0,0,1,0,0,0,0,0,0,0,0,2
06/18/2025 01:00 - 01:59,0,5,1,0,0,0,0,0,0,0,0,0,0,6
06/18/2025 02:00 - 02:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06/18/2025 03:00 - 03:59,0,2,0,0,1,0,0,0,0,0,0,0,0,3
06/18/2025 04:00 - 04:59,0,1,0,0,0,0,0,0,0,0,0,0,0,1
06/18/2025 05:00 - 05:59,0,5,1,0,1,0,0,0,0,0,0,0,0,7
06/18/2025 06:00 - 06:59,0,8,1,0,2,0,0,0,0,0,0,0,0,11
06/18/2025 07:00 - 07:59,0,15,0,1,2,0,0,0,0,0,0,0,0,18
06/18/2025 08:00 - 08:59,0,18,1,0,2,0,0,0,0,0,0,0,0,21
06/18/2025 09:00 - 09:59,0,9,2,0,2,2,0,0,0,0,0,0,0,15
06/18/2025 10:00 - 10:59,0,23,2,0,1,0,0,0,0,0,0,0,0,26
06/18/2025 11:00 - 11:59,0,17,3,1,1,0,0,0,0,0,0,0,0,22
06/18/2025 12:00 - 12:59,0,15,1,1,3,0,0,0,0,0,0,0,0,20
06/18/2025 13:00 - 13:59,0,10,0,0,3,1,0,0,0,0,0,0,0,14
06/18/2025 14:00 - 14:59,1,14,1,0,5,0,0,0,0,0,0,0,0,21
06/18/2025 15:00 - 15:59,1,20,2,0,2,0,0,0,0,0,0,0,0,25
06/18/2025 16:00 - 16:59,1,35,5,0,4,1,0,0,0,0,0,0,0,46
06/18/2025 17:00 - 17:59,0,36,1,0,0,0,0,0,0,0,0,0,0,37
06/18/2025 18:00 - 18:59,0,15,0,0,5,0,0,1,0,0,0,0,0,21
06/18/2025 19:00 - 19:59,0,18,5,0,3,0,0,0,0,0,0,0,0,26
06/18/2025 20:00 - 20:59,1,12,1,0,2,0,0,0,0,0,0,0,0,16
06/18/2025 21:00 - 21:59,0,15,1,0,3,0,0,0,0,0,0,0,0,19
06/18/2025 22:00 - 22:59,0,10,2,0,1,0,0,0,0,0,0,0,0,13
06/18/2025 23:00 - 23:59,0,11,1,0,0,0,0,0,0,0,0,0,0,12
06/19/2025 00:00 - 00:59,0,2,0,0,0,0,0,0,0,0,0,0,0,2
06/19/2025 01:00 - 01:59,0,1,0,0,0,0,0,0,0,0,0,0,0,1
06/19/2025 02:00 - 02:59,0,2,0,0,0,0,0,0,0,0,0,0,0,2
06/19/2025 03:00 - 03:59,0,1,0,0,0,0,0,0,0,0,0,0,0,1
06/19/2025 04:00 - 04:59,0,1,0,0,1,0,0,0,0,0,0,0,0,2
06/19/2025 05:00 - 05:59,0,2,1,0,0,0,0,0,0,0,0,0,0,3
06/19/2025 06:00 - 06:59,0,5,2,0,3,0,0,0,0,0,0,0,0,10
06/19/2025 07:00 - 07:59,0,20,1,0,3,0,0,0,0,0,0,0,0,24
06/19/2025 08:00 - 08:59,0,20,1,0,1,0,0,0,0,0,0,0,0,22
06/19/2025 09:00 - 09:59,0,8,4,0,0,0,0,0,0,0,0,0,0,12
06/19/2025 10:00 - 10:59,0,20,3,0,2,0,0,0,0,0,0,0,0,25
06/19/2025 11:00 - 11:59,0,22,4,0,2,0,0,0,0,0,0,0,0,28
06/19/2025 12:00 - 12:59,1,20,4,0,3,0,0,0,0,0,0,0,0,28
06/19/2025 13:00 - 13:59,0,18,6,0,3,0,0,0,0,0,0,0,0,27
06/19/2025 14:00 - 14:59,0,16,2,0,0,0,0,0,0,0,0,0,0,18
06/19/2025 15:00 - 15:59,1,23,4,0,3,0,0,0,0,0,0,0,0,31
06/19/2025 16:00 - 16:59,0,31,5,0,4,1,0,0,0,0,0,0,0,41
06/19/2025 17:00 - 17:59,0,25,3,0,1,0,0,0,0,0,0,0,0,29
06/19/2025 18:00 - 18:59,1,17,2,0,0,0,0,0,0,0,0,0,0,20
06/19/2025 19:00 - 19:59,0,26,3,0,1,0,0,0,0,0,0,0,0,30
06/19/2025 20:00 - 20:59,0,17,2,0,2,0,0,1,0,0,0,0,0,22
06/19/2025 21:00 - 21:59,0,22,1,0,4,0,0,0,0,0,0,0,0,27
06/19/2025 22:00 - 22:59,0,9,1,0,0,0,0,0,0,0,0,0,0,10
06/19/2025 23:00 - 23:59,0,1,1,0,0,0,0,0,0,0,0,0,0,2
06/20/2025 00:00 - 00:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06/20/2025 01:00 - 01:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06/20/2025 02:00 - 02:59,0,1,0,0,0,0,0,0,0,0,0,0,0,1
06/20/2025 03:00 - 03:59,0,1,0,0,0,0,0,0,0,0,0,0,0,1
06/20/2025 04:00 - 04:59,0,1,1,0,1,0,0,0,0,0,0,0,0,3
06/20/2025 05:00 - 05:59,0,4,1,0,0,0,0,0,0,0,0,0,0,5
06/20/2025 06:00 - 06:59,0,6,2,0,2,0,0,0,0,0,0,0,0,10
06/20/2025 07:00 - 07:59,0,12,2,1,2,0,0,0,0,0,0,0,0,17
06/20/2025 08:00 - 08:59,0,11,1,0,2,0,0,0,0,0,0,0,0,14
06/20/2025 09:00 - 09:59,0,21,4,0,4,0,0,0,0,0,0,0,0,29
